ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  360000         0.0000         0.0000         0.0000         0.0000          -5616.2163       426.9882         0.0000         0.0000       951.1528          -4238.0753       302.1729     -5189.2282     -4236.9774       295.8146            350.0740       370.4508     22567.3158      -222.4533      -222.5557
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5634.0667       406.2658         0.0000         0.0000       920.7599          -4307.0410       292.5173     -5227.8009     -4305.1070       296.8285           -322.8840      -311.9567     22802.7791      -197.0424      -197.0700
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5693.2996       447.8589         0.0000         0.0000       946.4713          -4298.9694       300.6856     -5245.4407     -4297.7938       297.6454            607.1597       628.2824     22545.6612      -162.4352      -162.5009
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5517.9628       372.4160         0.0000         0.0000       931.0586          -4214.4883       295.7891     -5145.5469     -4213.2014       299.5943           -333.9256      -311.8740     22628.6803      -205.9066      -205.8992
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5523.0805       309.0374         0.0000         0.0000       936.0701          -4277.9730       297.3812     -5214.0431     -4274.7381       305.4987           -963.6531      -939.8281     22421.6279      -209.4817      -209.6048
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5642.9632       400.4889         0.0000         0.0000       917.6688          -4324.8055       291.5353     -5242.4743     -4322.3989       300.8643           -185.4135      -173.8997     22733.8185      -254.8616      -255.0101
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5627.7291       412.7030         0.0000         0.0000       937.6156          -4277.4105       297.8722     -5215.0261     -4274.1566       301.4330              8.1683        39.8354     22591.4169      -223.3497      -223.2955
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5661.7129       384.4743         0.0000         0.0000       982.6190          -4294.6197       312.1694     -5277.2387     -4292.1646       300.0247           -706.5450      -678.2040     22636.2179      -199.8652      -199.8287
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5603.0465       392.9659         0.0000         0.0000       953.1581          -4256.9225       302.8100     -5210.0806     -4254.7573       295.6859           -455.4183      -436.8094     22737.1921      -221.7061      -221.6210
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5636.1292       421.5696         0.0000         0.0000       984.7846          -4229.7750       312.8574     -5214.5596     -4227.4607       302.2796              1.0317        21.0537     22887.8697      -232.0153      -232.0109
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5665.6155       433.5479         0.0000         0.0000       924.8345          -4307.2331       293.8118     -5232.0676     -4305.1033       298.4376            221.7351       241.2617     22575.7205      -209.9796      -209.9048
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5598.0928       407.9287         0.0000         0.0000       952.9239          -4237.2402       302.7356     -5190.1641     -4235.6927       298.3428             37.8945        71.9495     22736.2716      -223.4874      -223.4590
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5635.8369       394.6274         0.0000         0.0000       928.8788          -4312.3307       295.0966     -5241.2095     -4308.8973       291.0772            -31.9829       -19.2258     22562.3977      -163.1097      -163.2337
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5523.8736       342.4690         0.0000         0.0000       965.5031          -4215.9015       306.7318     -5181.4045     -4212.9818       299.4029           -603.2164      -566.2970     22696.4295      -256.6247      -256.4125
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5656.2121       435.6554         0.0000         0.0000       909.7873          -4310.7693       289.0315     -5220.5566     -4309.0068       302.6430             -2.6539         2.6955     22738.4757      -134.5442      -134.4589
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5613.3236       426.1378         0.0000         0.0000       958.1231          -4229.0627       304.3873     -5187.1858     -4228.0454       299.7702            327.1481       345.7088     22472.9846      -253.6815      -253.7179
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5693.8507       462.6626         0.0000         0.0000       935.1137          -4296.0744       297.0774     -5231.1881     -4292.6620       298.6384            978.3693       982.8150     22317.3067      -194.1072      -194.1021
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5640.0494       423.2400         0.0000         0.0000       937.9365          -4278.8729       297.9742     -5216.8094     -4276.3933       296.2859            105.9015       129.0777     22625.7989      -148.3606      -148.3016
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5623.3887       395.8123         0.0000         0.0000       911.8841          -4315.6923       289.6976     -5227.5764     -4312.9639       297.1284           -395.0377      -364.6437     22782.7027      -222.9559      -222.9077
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5620.3271       395.1895         0.0000         0.0000       972.6203          -4252.5174       308.9929     -5225.1377     -4250.8593       296.4978           -605.8473      -583.1545     22944.9488      -280.6338      -280.5825
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5521.1130       351.9298         0.0000         0.0000       940.1272          -4229.0561       298.6701     -5169.1833     -4226.8195       300.0755           -719.5221      -703.1812     22918.0872      -256.7106      -256.5522
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5688.9631       408.1585         0.0000         0.0000       935.9601          -4344.8445       297.3463     -5280.8045     -4342.6134       297.9397             61.3504        61.7880     22559.3788      -239.4089      -239.4430
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5542.5866       351.1339         0.0000         0.0000       925.7208          -4265.7319       294.0934     -5191.4527     -4262.5436       296.4409           -791.3784      -767.4426     22712.8368      -247.8803      -247.8114
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5549.2464       375.8196         0.0000         0.0000       947.1307          -4226.2961       300.8951     -5173.4268     -4223.0948       298.8337           -688.0322      -677.2806     23056.1497      -214.2505      -214.2590
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5587.1016       406.3464         0.0000         0.0000       946.7696          -4233.9855       300.7804     -5180.7552     -4231.1726       300.6152           -189.5012      -171.4222     22685.2337      -207.2938      -207.2888
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5720.7160       447.6972         0.0000         0.0000       959.1520          -4313.8668       304.7142     -5273.0188     -4311.4294       301.3610            189.6765       203.6734     22509.9695      -197.0419      -197.0895
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5623.8191       412.8897         0.0000         0.0000       909.7181          -4301.2113       289.0094     -5210.9294     -4299.0633       296.1140            -91.4934       -77.4356     22498.5541      -247.3355      -247.4075
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5653.6454       472.1052         0.0000         0.0000       899.2169          -4282.3232       285.6733     -5181.5401     -4280.1057       294.6508            806.3308       836.0917     22717.5244      -216.5590      -216.6022
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5498.4662       361.3535         0.0000         0.0000       917.0522          -4220.0605       291.3394     -5137.1127     -4217.3122       302.1738           -547.7670      -540.9412     22925.0439      -207.9605      -207.9941
